2019-10-24 13:14:42,997 [main] INFO  w.p.io.tests.PostCodeResourceTests - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 12:14:42 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 28, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"1c-C4NcFMR9ZJvtLuqE6P6UsNsSIg8"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 28,Chunked: false]}}
2019-10-24 13:14:42,997 [main] INFO  w.p.io.tests.PostCodeResourceTests - {"status":200,"result":null}
2019-10-24 13:14:42,998 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-24 13:14:43,030 [main] INFO  TestHelper.PostCodeHelper - PostRequest--------{"postcodes":["RM139R","IG1 2L"]}
2019-10-24 13:14:43,040 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 12:14:43 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 91, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"5b-qxyPDVR5e9vSa06bB2CdCWzxQSM"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 91,Chunked: false]}}
2019-10-24 13:14:43,041 [main] INFO  w.p.io.tests.PostCodeResourceTests - {"status":200,"result":[{"query":"RM139R","result":null},{"query":"IG1 2L","result":null}]}
2019-10-24 13:14:43,042 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-24 13:14:43,056 [main] INFO  TestHelper.PostCodeHelper - PostRequest--------{"postcodes":["TW3 1LX","TW3 4DU"]}
2019-10-24 13:14:43,088 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 12:14:43 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 1617, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"651-mv+tcsEcZY8qfnGmkK3rA54aFNw"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 1617,Chunked: false]}}
2019-10-24 13:14:43,089 [main] INFO  w.p.io.tests.PostCodeResourceTests - {"status":200,"result":[{"query":"TW3 1LX","result":{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}},{"query":"TW3 4DU","result":{"postcode":"TW3 4DU","quality":1,"eastings":513929,"northings":176372,"country":"England","nhs_ha":"London","longitude":-0.360965,"latitude":51.474848,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 012C","msoa":"Hounslow 012","incode":"4DU","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}}]}
2019-10-24 13:14:43,098 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-24 13:14:43,134 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes/tw31lx HTTP/1.1
